Greenthink Outdoor	DSCN0266	null	44.197968	10.780055	16	05/08/12 11.28.57
BrutteAbitudini	sotto la rocca (b/n)	castiglione garfagnana agosto 2012 - &quot;BULB&quot; iso200 f14 esposizione 480&quot;	44.14959	10.410221	16	08/08/12 22.56.09
GioBertPhoto	Art By Brandon McGill, peccato dover tagliare questa foto. Per me non sarebbe comunque volgare... In fondo è arte!  http://brandonmcgill.tumblr.com/ #brandonmcgill	null	44.215996	11.600296	16	02/06/14 0.23.03
Gravitalia.it	Sestola_42	PRIMA TAPPA CIRCUITO NAZIONALE GRAVITALIA  <a href="http://www.gravitalia.it" rel="nofollow">www.gravitalia.it</a>  Foto di Carlo Marchisio - <a href="http://www.carlomarchisio.it" rel="nofollow">www.carlomarchisio.it</a>	44.22998	10.765324	15	01/06/12 14.35.03
GioBertPhoto	È stata una scelta molto difficile, ma dovevo provare anche questo.... #barba	null	44.217472	11.598713	16	30/01/14 13.20.34
casanova14	Paesaggio con fotografo	null	44.143955	11.529727	16	18/01/15 14.31.00
ANPI Nazionale		volti della festa	44.34045	11.20482	16	15/06/12 15.12.15
massimo.albertin82	Monte Sole	null	44.310818	11.198988	16	11/05/14 14.12.03
giudasvelto	IMG_2316 - Version 2	null	44.281532	10.960858	16	16/02/14 11.50.52
VAB Sezione Larciano	2013-06-24 Gramolazzo	null	44.161125	10.241049	16	25/06/13 18.18.50
Michele -	Peace	Grande pace	44.31486	11.203991	16	25/04/12 8.46.53
BrutteAbitudini	autunno in Garfagnana 25	sulle strade della Garfagngana novembre 2012 - filtro ND1000 iso100 f/8.0 tempo di scatto 178&quot;	44.22069	10.350451	15	08/11/12 14.23.28
giudasvelto	IMG_2371 - Version 2	null	44.279667	10.960442	16	16/02/14 12.23.20
Greenthink Outdoor	DSCN0215	null	44.17337	10.758461	16	04/08/12 22.28.35
arcieriariostiferrara	IMG_1711	Montesole 22/01/2012	44.313168	11.168666	16	22/01/12 15.13.16
chiara.maccaferri	Necropoli di Marzabotto	null	44.336296	11.204815	16	19/05/13 18.23.00
Zanna 7	Nuove amicizie strette si piedi della Croce del #cusna #appenninoreggiano #emilia #nofilter #canepastore	null	44.287834	10.3915	16	29/06/13 22.24.24
liside		null	44.214516	11.507336	16	03/10/14 16.21.52
VAB Sezione Larciano	2013-06-24 Gramolazzo	null	44.161125	10.241049	16	25/06/13 16.07.19
montyke	Donatella #ferragosto2013	null	44.278164	11.462309	16	15/08/13 17.37.47
Stephen P Miller	DSC_3371	Looking through the master bedroom, Casa Della Quercia	44.217785	10.172077	16	19/09/13 4.07.47
barbierino	geranio	null	44.23379	10.125236	16	30/09/12 11.26.59
casanova14	IMG_0320	null	44.143425	11.497769	16	18/01/15 13.06.03
Greenthink Outdoor	DSCN1022	null	44.17198	10.764622	16	16/12/12 13.06.24
RiccardoW.R	Fiume Reno...again	null	44.326626	11.188158	15	05/02/12 18.01.45
miskin69	boschetto	null	44.27985	10.65118	16	30/12/12 11.34.01
waitesbw		null	44.144035	10.666133	16	13/02/14 15.18.10
storvandre	Fiumalbo	11.07.2013 // Modena - Lucca	44.179333	10.644668	16	11/07/13 17.12.46
CarloA	IMG_8047 Fortezza di Verrucole	null	44.17874	10.332298	16	17/08/14 16.30.25
Azzurra.Bottiglia	2014-09-25 13.12.22	null	44.295723	11.238027	16	25/09/14 13.12.22
Enrico Moreni	Novità in Garfagnana	Proprio la Lucca-Aulla, linea che infrastrutturalmente è rimasta quasi come 30 anni fa, ha visto l'introduzione in servizio regolare dei primissimi convogli diesel costruiti dalla polacca Pesa per Trenitalia, che dalla seconda settimana di aprile andranno a rimpiazzare quasi tutte le composizioni di Aln663/8 fino ad oggi impiegate. In foto un ATR220 in servizio con il R6967 sta per attraversare il ponte prima della stazione di Minucciano-Pieve-Casola (LU).  <i> Brand new Trenitalia ATR220 on its firts services between Aulla and Lucca ( Garfagnana line - Tuscany  )  </i>	44.193127	10.188488	15	28/03/15 11.23.39
Carlo Glingani	Love. #me #myself #Playstation #Playstation3 #Playstation4 #videogames #sony #luccacomicsandgames #lucca #comics #italy #swag #love #playing #punkrock #movies #guys #girls #likeforlike #lifestyle	null	44.170624	10.34628	16	01/11/13 13.25.48
NicoMangialardo	E190 322 CFI	null	44.255974	11.180026	15	06/04/14 15.22.21
giudasvelto	IMG_2295	null	44.28221	10.962441	16	16/02/14 11.35.36
Valentina Ceccatelli	polaroid_darkwasthenight	null	44.215187	10.719051	15	22/01/13 12.55.44
giudasvelto	IMG_2280 - Version 2	null	44.28238	10.96245	16	16/02/14 11.28.48
GioBertPhoto	Emozione Italiana!	null	44.21614	11.599894	16	17/11/13 9.34.52
gloutchov	Little fall on the rocks	null	44.26026	11.036261	16	12/07/15 12.49.54
fotomanfredini	...come disse don Natalo: "una casa cablata è una casa felice"...	null	44.32674	10.788061	16	23/10/13 17.56.03
Tiziano Gioiellieri	photo	null	44.277172	11.589244	16	19/11/12 19.45.53
